Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
ZFHX3	6	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.
EPHA5	6	.	1:: nonsense: 1; 	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	2:: missense: 2; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.
GLI1	6	2:: missense: 1; frameshift indel: 1; 	2:: splice-site: 1; frameshift indel: 1; 	.	.	.	.	.	1:: missense: 1; 	.	4:: missense: 3; frameshift indel: 1; 	.	.	.	.	1:: missense: 1; 	.	.	2:: missense: 2; 	.	.
USP32	5	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
PPP2R2B	5	.	2:: missense: 2; 	.	.	2:: missense: 2; 	2:: missense: 2; 	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.
PRDM2	5	2:: missense: 2; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
COL2A1	5	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 2; 	.	.
ADGRB3	5	.	2:: missense: 1; nonsense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.
LIFR	5	2:: missense: 2; 	1:: missense: 1; 	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
MED13	5	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.
DPYD	5	2:: missense: 2; 	.	.	.	.	.	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
GRIN3A	5	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
FBN2	5	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 
GNAS	5	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	2:: missense: 2; 	.	.	.
ANK3	5	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	2:: missense: 1; frameshift indel: 1; 	2:: missense: 2; 	.	.
ANKRD11	5	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	2:: missense: 2; 	.	1:: missense: 1; 	1:: missense: 1; 	.
MKLN1	5	2:: missense: 1; nonsense: 1; 	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
CNOT1	5	.	1:: missense: 1; 	.	.	.	.	.	1:: frameshift indel: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.
ARID1B	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	2:: missense: 2; 	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 2; 	.
SPTAN1	5	.	.	.	1:: splice-site: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.
MGA	5	.	.	.	.	.	.	.	3:: missense: 1; frameshift indel: 2; 	.	1:: missense: 1; 	.	.	.	.	.	3:: missense: 3; 	1:: missense: 1; 	.	1:: missense: 1; 	.
SCN5A	5	.	1:: missense: 1; 	.	.	.	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 
MDN1	5	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	1:: missense: 1; 	.	.
ATM	5	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	2:: nonsense: 2; 	1:: missense: 1; 	.	.	.	1:: splice-site: 1; 	1:: missense: 1; 	.	.
MTOR	5	2:: missense: 2; 	.	.	.	.	.	.	3:: missense: 3; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 
ASCL1	5	2:: missense: 2; 	.	.	2:: missense: 2; 	.	.	.	.	2:: missense: 2; 	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 
DAB2IP	5	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.
NOTCH2	5	2:: missense: 2; 	.	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	.	.	.	2:: missense: 2; 	3:: missense: 3; 	.	.	.
MAGI2	5	2:: missense: 2; 	2:: missense: 2; 	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	2:: missense: 2; 	.
ERBB4	5	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.
MAP1A	5	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
AFF3	5	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.
TRRAP	5	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.
BCR	5	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
MICAL1	5	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.
KDR	5	1:: missense: 1; 	2:: missense: 2; 	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.
RTL1	5	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
SPTA1	5	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	1:: missense: 1; 	2:: missense: 2; 	1:: frameshift indel: 1; 	.	.
CPS1	5	.	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: nonsense: 1; 	.	.	1:: splice-site: 1; 	.	.
EP400	5	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	2:: missense: 2; 	.	.	.
MACF1	5	3:: missense: 1; frameshift indel: 2; 	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	.	.	2:: missense: 1; nonsense: 1; 	.	.	.	.	2:: missense: 2; 	.	.	.	.
PRB2	5	.	.	.	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	1:: missense: 1; 	1:: missense: 1; 	.
MN1	4	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	1:: nonsense: 1; 	1:: missense: 1; 	.	.
TYK2	4	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
THBS1	4	1:: nonsense: 1; 	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.
PIK3CB	4	1:: missense: 1; 	.	.	.	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
UBE4A	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	2:: missense: 2; 	.	.
BCOR	4	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	2:: missense: 2; 	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.
MMP17	4	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
MYO18A	4	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.
STAG2	4	.	1:: missense: 1; 	1:: splice-site: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
NR1H2	4	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 
CUX1	4	.	.	1:: nonsense: 1; 	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.
ZEB2	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	2:: missense: 2; 	.	1:: missense: 1; 	.	.
TNK2	4	2:: missense: 2; 	.	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
MYH11	4	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: nonsense: 1; 	.	1:: missense: 1; 	.	.	.	.
CDH20	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
TRIP11	4	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.
FOSB	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
FN1	4	2:: missense: 2; 	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 
KMT2B	4	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	1:: missense: 1; 
DIDO1	4	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.
TRIO	4	.	.	.	.	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	1:: missense: 1; 
PIP5K1A	4	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
SRCAP	4	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	.	.
TGFBR1	4	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 
CARS	4	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.
INTS1	4	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: nonsense: 1; 	.
