Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
HEG1	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.
AFF4	4	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
DNAH12	4	.	.	.	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	.	.	1:: missense: 1; 	1:: unknown: 1; 	.	2:: unknown: 2; 	.
MAP3K6	4	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 
PASK	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	2:: missense: 2; 	.	.	.	.	.	.
PER1	4	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	3:: missense: 3; 	.	1:: missense: 1; 	.	.
FGFR4	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 
PTPN13	4	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
WDR90	4	.	.	.	1:: missense: 1; 	.	.	3:: missense: 3; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	2:: nonsense: 2; 	.	.
DMD	4	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.
RAG1	4	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: nonsense: 1; 
CNBD1	4	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
BRE	4	2:: missense: 1; frameshift indel: 1; 	.	.	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.
GPHN	4	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
LRP6	4	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
ANKRD12	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 
CASP8	4	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.
CEP250	4	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 	.	.	.	1:: missense: 1; 	.
ASXL1	4	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	1:: nonsense: 1; 	.	.
GUCY1A2	4	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 
ABCB11	4	.	.	.	.	.	.	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 
PKHD1	4	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	.	5:: missense: 5; 	.	.	2:: missense: 1; nonsense: 1; 	.
AMPH	4	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
EPHA6	4	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.
EPHA3	4	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	1:: missense: 1; 	2:: missense: 2; 	.	1:: missense: 1; 	.
GON4L	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.
SACS	4	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.
ARFGEF2	4	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 
NUP210L	4	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	2:: nonsense: 2; 	.	.	.	.
HIVEP2	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
TSC2	4	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
PTPRO	4	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 
DIAPH1	3	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.
GATA2	3	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 
HHIP	3	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ZNF451	3	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ARID2	3	1:: missense: 1; 	.	.	.	2:: nonsense: 2; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
MST1	3	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	1:: missense: 1; 
EPPK1	3	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
RSBN1L	3	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: nonsense: 1; 	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
KCNH2	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.
MYBBP1A	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
FLNC	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
PAG1	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.
MED12	3	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
POLE	3	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	2:: missense: 1; frameshift indel: 1; 	.	.	.	.	.
NCOA2	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
SETX	3	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	.
NUP214	3	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
LTK	3	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
LRIG3	3	1:: nonsense: 1; 	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
F5	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	2:: nonsense: 2; 	.	.	.	.	.
ERG	3	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
MME	3	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; nonsense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
PLCG1	3	2:: missense: 1; splice-site: 1; 	.	.	.	.	.	.	2:: missense: 1; splice-site: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
BHMT2	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
POTEC	3	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.
CAD	3	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.
MEF2C	3	1:: missense: 1; 	.	.	.	.	.	2:: missense: 2; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PGR	3	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 	.	.
LTBP1	3	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	2:: missense: 1; nonsense: 1; 	.	.	1:: missense: 1; 	.	.
"CYP3A7,CYP3A7-CYP3A51P"	3	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
TRIM23	3	1:: nonsense: 1; 	.	1:: missense: 1; 	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
CFH	3	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.
BRI3BP	3	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	2:: missense: 2; 	.	.	.	.	.
PRPF8	3	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
EPHA7	3	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
NIN	3	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.
APC	3	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.
KMT2C	3	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.
NOTCH3	3	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.
RUNX2	3	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
CEP170	3	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.
ZNF331	3	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
SCN10A	3	2:: missense: 2; 	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
FLT4	3	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
GABRA6	3	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
FLT3	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
FLT1	3	.	.	.	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
SNCAIP	3	.	1:: nonsense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
FANCM	3	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
TET2	3	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.
IL6R	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
RSRC1	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	.	.	.
ZNF729	3	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ZNF728	3	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.
YY1AP1	3	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.
TBX22	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: nonsense: 1; 	.
NBPF14	3	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
TOM1	3	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
COL5A3	3	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
CYP2C19	3	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PRB1	3	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: unknown: 1; 	.	.	.	.	.	.	.	.
KIAA1549	3	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	2:: missense: 2; 	.	.
MAP3K1	3	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
MAP3K5	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	2:: missense: 2; 	.	1:: missense: 1; 	.	.
ZMYND8	3	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
AXL	3	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
GRIA3	3	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
MED23	3	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
FAM196B	3	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
PPM1D	3	1:: nonsense: 1; 	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.
MAML2	3	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PPP6C	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
EPHB1	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
TOP3A	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.
VMP1	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
BAZ1B	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
BCORL1	3	.	1:: missense: 1; 	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.
STAT3	3	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
CDH2	3	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	.	.	.
COL1A1	3	.	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.
ZNF91	3	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.
C11orf30	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	2:: missense: 2; 	.	.	.
RUNX1T1	3	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
KRT10	3	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.
TP53BP1	3	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 
MCM2	3	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.
SSX1	3	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
INPP4A	3	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
BTK	3	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	2:: missense: 2; 	.	.	.	1:: missense: 1; 	.	.	.
ICE1	3	.	1:: nonsense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
KLF4	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 
KLHL6	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
BMP2	3	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
TRIM33	3	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.
KDM6B	3	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
CHD3	3	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: splice-site: 1; 	.	.	.	.	.	.
CHD4	3	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	2:: missense: 1; nonsense: 1; 	.	.	.
GPC3	3	.	.	.	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
SERPINB13	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
EPHA2	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ABL2	3	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	2:: missense: 1; splice-site: 1; 	1:: missense: 1; 	.
APAF1	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 
MPO	3	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.
FAM83D	3	.	.	.	1:: nonsense: 1; 	.	.	1:: nonsense: 1; 	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.
ANKRD6	3	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.
AHDC1	3	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
AR	3	.	.	.	.	.	.	4:: missense: 4; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	2:: missense: 2; 
DACH1	3	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	1:: frameshift indel: 1; 	.	.	.	.
ERRFI1	2	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HIST1H4G	2	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
HSPA8	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
USP9X	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.
ZNF709	2	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
BRCA1	2	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
PIK3CA	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
PIK3CD	2	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
RNF111	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
KDM2B	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
ARHGEF12	2	.	.	.	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
ZMYM4	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 
CYP2C8	2	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.
PIK3C2B	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
EDA	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
BMX	2	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.
ALK	2	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
WHSC1	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.
AKAP9	2	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
TOP2A	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	2:: frameshift indel: 2; 	.	.	.	.	.	.
CD1A	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
PDS5A	2	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
RASGEF1A	2	.	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
UTP14C	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	2:: missense: 2; 	.	.	.
STIP1	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
IGFLR1	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
LCTL	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.
JAK1	2	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
IFNL2	2	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HOXC13	2	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
VEGFA	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.
POLD1	2	.	1:: missense: 1; 	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.
SLC26A3	2	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
SMAD4	2	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
MAP3K7	2	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
IGF2R	2	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.
FGF5	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 
MALT1	2	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	.	.
SMC4	2	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
RIF1	2	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
EIF5	2	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ADGRL3	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	2:: missense: 1; nonsense: 1; 	.	.
